test,key,value
resonator/frequency dependent decay accuracy,worstT60RelErr_hfReference,0.0144226
resonator/sample rate consistency,t60Spread,2.47545e-05
resonator/sample rate consistency,inharmonicitySpread,0.00714648
resonator/sample rate consistency,inharmonicity@48k,0.0220268
resonator/sample rate consistency,centroid@44k1,1735.54
resonator/sample rate consistency,centroid@192k,1647.23
resonator/sample rate consistency,centroidSpread_below20k,0.0536136
resonator/frequency automation is click free,octave200ms.hfRatioDb_before,-44.0042
resonator/frequency automation is click free,octave200ms.hfRatioDb_during,-42.9082
resonator/frequency automation is click free,octave200ms.curvature_before,0.0148497
resonator/frequency automation is click free,octave200ms.curvature_during,0.00724461
resonator/frequency automation is click free,octave30ms.thiran.hfRatioDb_during,-19.3334
resonator/frequency automation is click free,octave30ms.lagrange.hfRatioDb_during,-24.5862
resonator/frequency automation is click free,octave30ms.thiran.curvature_during,0.0316199
resonator/frequency automation is click free,octave30ms.lagrange.curvature_during,0.0234997
resonator/near nyquist stability and tuning,pitchErrorCents@8000,-1.41549e-05
resonator/near nyquist stability and tuning,pitchErrorCents@12000,1.74102e-07
resonator/near nyquist stability and tuning,pitchErrorCents@16000,3.84411e-13
resonator/near nyquist stability and tuning,pitchErrorCents@19000,1.2959e-05
resonator/impulse responses and dispersion,inharmonicity_disp0.0,1.15411e-06
resonator/impulse responses and dispersion,inharmonicity_disp0.1,0.00502356
resonator/impulse responses and dispersion,inharmonicity_disp0.3,0.0882693
resonator/impulse responses and dispersion,inharmonicity_disp0.5,0.302999
resonator/cpu per resonator,nsPerSample_thiran_loss_4stageDispersion,4.61844
resonator/cpu per resonator,percentOfRealtimeCore_per_resonator@48k,0.0221685
resonator/modal bank tuning decay and cpu,modal.worstPitchErrorCents,0.000314414
resonator/modal bank tuning decay and cpu,modal.worstT60RelErr,0.000606896
resonator/modal bank tuning decay and cpu,modal.nsPerSample_16modes,6.38636
resonator/modal bank tuning decay and cpu,modal.nsPerModeSample,0.399147
